Day,Month,Hour,Temperature_mean,Temperature_min,Temperature_max,Temperature_std,Pressure_mean,Pressure_min,Pressure_max,Pressure_std,Humidity_mean,Humidity_min,Humidity_max,Humidity_std,WindDirection_mean,WindDirection_min,WindDirection_max,WindDirection_std,Speed_mean,Speed_min,Speed_max,Speed_std,Radiation_mean,SunDurationMinutes_mean,TimeSunRise_first,TimeSunSet_first
7,9,12,59.0,59,59,0.0,30.43,30.43,30.43,0.0,80.0,80,80,0.0,1.88,1.88,1.88,0.0,4.5,4.5,4.5,0.0,1069.2,745.0,6.133333333333334,18.55
25,10,14,63.833333333333336,62,64,0.5773502691896254,30.4325,30.43,30.44,0.004522670168666745,70.08333333333333,66,80,4.122186827695254,256.1191666666667,0.25,359.91,148.1612491024764,7.778333333333333,5.62,11.25,1.9475197902289296,648.9241666666667,691.0,6.35,17.866666666666667
2,12,11,45.0,45,45,0.0,30.405,30.39,30.41,0.006741998624632904,93.0,93,93,0.0,158.6341666666667,89.92,199.97,40.75096796582278,3.4658333333333338,0.0,5.62,2.1684575931600167,70.6075,660.0,6.7,17.7
22,10,13,56.25,56,57,0.4522670168666461,30.381666666666664,30.37,30.39,0.007177405625651402,70.5,65,77,3.777926319123662,67.31916666666667,12.21,156.34,40.08242926278372,5.06,2.25,7.87,2.117099216123111,907.8441666666668,694.0,6.333333333333333,17.9
28,10,11,50.5,50,51,0.5222329678670912,30.415000000000003,30.41,30.42,0.005222329678671074,100.5,100,101,0.5222329678670917,98.2325,8.8,359.93,120.14016807084509,4.685,2.25,9.0,2.081535709299965,499.05583333333334,689.0,6.366666666666666,17.85
23,10,7,46.333333333333336,46,47,0.4923659639173293,30.390833333333333,30.38,30.4,0.005149286505442462,99.41666666666667,95,101,2.0652243256245852,90.78083333333332,35.36,127.81,31.498874859655583,5.904166666666666,3.37,10.12,2.306202933329365,182.2675,694.0,6.333333333333333,17.9
13,9,7,53.5,52,58,2.1105794120443444,30.44333333333333,30.44,30.45,0.004923659639172389,73.91666666666667,65,76,3.4498572653828963,181.52833333333334,159.01,348.06,52.70499783672983,2.9025,1.12,5.62,1.395219924013285,190.38333333333333,737.0,6.166666666666667,18.45
4,12,14,45.0,45,45,0.0,30.32166666666667,30.31,30.33,0.005773502691897686,93.0,93,93,0.0,53.17416666666667,1.06,113.7,33.40132481268407,4.215833333333333,1.12,9.0,2.4986231056808914,97.68916666666667,660.0,6.716666666666667,17.716666666666665
28,12,10,50.0,50,50,0.0,30.415833333333335,30.41,30.42,0.005149286505443647,98.0,96,100,1.2792042981336647,90.77916666666665,10.74,334.9,83.71312240550336,5.529166666666666,2.25,11.25,2.690459434687126,578.365,656.0,6.933333333333334,17.866666666666667
1,10,14,55.416666666666664,55,56,0.5149286505444386,30.42,30.42,30.42,0.0,99.91666666666667,99,100,0.28867513459481364,136.54749999999999,0.11,359.93,139.20462264561868,6.278333333333333,3.37,9.0,1.9471696631186761,459.665,718.0,6.216666666666667,18.183333333333334
