"Day","Month","Hour","Mean_Temperature","Min_Temperature","Max_Temperature","SD_Temperature","Mean_Pressure","Min_Pressure","Max_Pressure","SD_Pressure","Mean_Humidity","Min_Humidity","Max_Humidity","SD_Humidity","Mean_WindDirection","Min_WindDirection","Max_WindDirection","SD_WindDirection","Mean_Speed","Min_Speed","Max_Speed","SD_Speed","Mean_Radiation","SunDurationMinutes"
22,12,17,55.8333333333333,53,57,1.33711584684304,30.4275,30.42,30.43,0.00452267016866555,29.5,22,78,15.4655041360383,120.540833333333,76.29,162.57,21.0480728801878,8.24583333333333,3.37,12.37,2.89138676490061,43.5516666666667,656
30,12,11,49.8333333333333,49,50,0.389249472080761,30.3308333333333,30.33,30.34,0.00288675134594858,68.1666666666667,66,70,1.46680440124618,307.0375,21.93,355.4,91.1843400754757,3.27833333333333,0,5.62,1.82386120551145,328.526666666667,657
15,10,10,65.75,64,66,0.621581560508061,30.52,30.52,30.52,0,27.5833333333333,18,47,9.02983271095754,32.1175,1.04,104.3,26.085300676121,7.87166666666667,5.62,11.25,1.92040636482506,897.803333333333,702
14,9,8,55.75,55,58,1.05528970602217,30.4425,30.43,30.45,0.00753778361444366,71.8333333333333,67,75,2.58785040080946,95.945,0.99,357.25,155.682825379622,2.52833333333333,1.12,5.62,1.44933108917894,559.531666666667,736
16,10,6,50.1666666666667,49,52,1.26730446462585,30.5075,30.5,30.52,0.00621581560508093,24.0833333333333,23,25,0.996204919895622,169.068333333333,157.43,187.07,8.36785389379372,7.78,4.5,11.25,2.46783674132188,25.2733333333333,701
22,10,14,54.9166666666667,54,56,0.668557923421521,30.37,30.37,30.37,0,79.75,76,84,2.30118546524493,82.9775,33.42,127.14,32.0418079517711,5.99833333333333,2.25,13.5,3.15864710202826,778.4325,694
24,11,8,46.6666666666667,46,47,0.492365963917331,30.4808333333333,30.47,30.49,0.00792961461098734,99.4166666666667,98,101,0.90033663737852,99.085,40.62,152.96,38.1808506262688,4.49666666666667,2.25,7.87,1.917741727484,374.02,665
21,9,18,51.3333333333333,51,52,0.492365963917331,30.39,30.39,30.39,0,94.25,92,96,1.21543108701099,92.0925,52.32,158.74,37.3513972295549,4.77833333333333,1.12,9,2.09948406360547,5.74083333333333,729
8,11,8,55.8333333333333,51,58,2.51661147842358,30.4375,30.43,30.44,0.00452267016866716,38.5,29,61,10.7492071589236,148.78,2.02,334.27,107.682171479523,1.59083333333333,0,3.37,1.12023908433004,450.295,678
22,11,8,48,48,48,0,30.4391666666667,30.43,30.44,0.00288675134594858,103,103,103,0,104.464166666667,43.98,148.95,35.4587284954657,4.40333333333333,1.12,7.87,2.42006135659759,167.989166666667,667
29,12,16,47.5,47,48,0.522232967867094,30.2816666666667,30.28,30.29,0.00389249472080684,102,102,102,0,70.035,12.07,108.65,33.0606963849001,2.2475,0,3.37,1.07169470720656,103.27,657
18,12,15,44.9166666666667,44,46,0.514928650544437,30.3741666666667,30.37,30.38,0.00514928650544335,101,101,101,0,273.939166666667,10.86,342.35,122.860916964771,5.81083333333333,1.12,12.37,3.45313680410707,14.7133333333333,656
1,10,18,51.9166666666667,51,52,0.288675134594813,30.4416666666667,30.44,30.45,0.00389249472080684,102,102,102,0,85.2425,3.49,196.38,57.1496854560659,4.1225,1.12,7.87,2.05445911926406,2.31083333333333,718
12,10,12,57.8333333333333,57,59,0.577350269189626,30.455,30.45,30.46,0.00522232967867175,93.8333333333333,90,97,2.48022481874429,98.3475,25.15,336.4,112.011467280242,6.27916666666667,2.25,9,2.60496539266258,800.231666666667,706
5,9,16,58.6666666666667,56,60,1.23091490979333,30.4,30.4,30.4,0,91.25,89,95,1.81533868615599,285.080833333333,1.39,358.14,125.974306432148,5.2475,1.12,9,2.81115998380481,239.4775,747
20,12,9,56.0833333333333,56,57,0.288675134594813,30.5575,30.55,30.56,0.00452267016866555,64.4166666666667,62,67,1.72986249234563,116.634166666667,35.36,192.24,49.8336013801446,4.77833333333333,2.25,6.75,1.27995620190219,514.590833333333,656
13,12,11,50.9166666666667,50,52,0.514928650544437,30.3133333333333,30.3,30.33,0.00887625364598576,86.8333333333333,84,89,1.6966991126266,295.694166666667,282.24,320.95,12.4174016154262,15.28,10.12,20.25,2.46783674132188,825.754166666667,657
13,9,11,66.8181818181818,65,68,0.873862897505303,30.46,30.46,30.46,0,49.4545454545455,48,50,0.820199532264724,237.895454545455,0.83,353,142.327628826144,7.66909090909091,4.5,13.5,2.65346360271044,1027.41181818182,737
9,10,10,64.1666666666667,63,65,0.577350269189626,30.44,30.44,30.44,0,56,51,59,2.59369865776129,66.775,7.45,325.27,84.3353150982865,4.96666666666667,1.12,9,3.16348005535139,889.619166666667,708
19,9,7,55.1666666666667,51,62,3.68863939767235,30.4325,30.43,30.44,0.00452267016866716,36.4166666666667,23,44,6.93421468757157,166.14,112.44,184.7,19.5799981428173,4.02916666666667,1.12,7.87,2.00304975807725,274.1775,731
25,11,11,47.3333333333333,46,49,0.778498944161523,30.48,30.47,30.49,0.00738548945875981,100.5,97,102,1.31425748134554,97.7175,1.82,153.34,43.360712239412,9.09083333333333,5.62,13.5,2.77577657711506,546.3225,665
12,12,12,51.1666666666667,51,52,0.389249472080761,30.3483333333333,30.33,30.36,0.00937436866561118,100.5,99,101,0.674199862463242,257.565,0.34,314.3,117.096047406314,3.56,0,6.75,1.96788303421815,155.833333333333,657
11,12,8,49.0833333333333,46,52,2.15146180044822,30.4133333333333,30.41,30.42,0.00492365963917408,98,96,99,1.27920429813366,178.325,177.89,179.08,0.265072888775218,1.59083333333333,0,4.5,1.31042295970932,318.054166666667,657
20,10,6,44,44,44,0,30.4541666666667,30.45,30.46,0.00514928650544518,86.3333333333333,85,88,0.984731927834662,159.445833333333,141.61,167.43,7.59274229814634,4.59083333333333,2.25,6.75,1.30990255247087,9.41083333333333,697
20,12,14,57.6666666666667,57,58,0.492365963917331,30.4833333333333,30.48,30.49,0.00492365963917233,64.8333333333333,60,68,2.65718009562883,87.2791666666667,4.08,319.4,82.0996087310279,5.52833333333333,2.25,9,1.94541808235441,667.585833333333,656
23,9,14,60.4166666666667,60,62,0.668557923421521,30.4166666666667,30.41,30.42,0.00492365963917408,81.3333333333333,79,83,1.15470053837925,149.293333333333,61.73,348,69.3311171557231,5.15416666666667,2.25,7.87,1.94502375930024,185.390833333333,726
20,11,12,53.5833333333333,53,54,0.514928650544437,30.4208333333333,30.41,30.43,0.00668557923421493,98.5,97,99,0.674199862463242,79.9841666666667,0.1,271.29,82.3815554663822,7.02833333333333,3.37,11.25,2.5889830693408,582.5425,668
21,10,8,47.9166666666667,47,48,0.288675134594813,30.45,30.45,30.45,0,102,102,102,0,124.311666666667,55.77,168.17,37.6871315952646,7.59083333333333,2.25,14.62,4.18443318271496,135.143333333333,696
7,10,13,59.1666666666667,58,60,0.577350269189626,30.4,30.39,30.41,0.00603022689155514,90.0833333333333,87,93,1.83195540504146,130.939166666667,0.84,359.92,163.208282123757,3.83916666666667,1.12,7.87,2.32350619982088,333.125833333333,711
25,10,15,58.5,57,61,1.50755672288882,30.4275,30.42,30.43,0.00452267016866555,89.5,81,93,3.91964747951093,204.935833333333,0.13,359.91,173.037437591792,5.435,3.37,9,1.84835799366012,241.27,691
27,10,7,47.8333333333333,45,52,2.24957908520818,30.4083333333333,30.4,30.41,0.00389249472080822,92.1666666666667,85,95,2.69117525301201,134.99,71.7,172.76,34.340637204868,6.56,1.12,12.37,3.06450648555359,164.1775,689
4,10,8,52.25,52,53,0.452267016866645,30.4558333333333,30.45,30.47,0.00792961461098768,99.5833333333333,97,100,0.90033663737852,308.066666666667,30.43,336,87.6180142678572,1.1225,0,3.37,1.26756118733431,200.693333333333,714
5,10,9,55,54,56,0.603022689155527,30.47,30.47,30.47,0,100.916666666667,100,101,0.288675134594813,95.4275,0.11,356.37,95.4594168053534,5.52833333333333,1.12,11.25,3.19873791399424,382.2025,714
28,11,12,61,61,61,0,30.4466666666667,30.44,30.45,0.00492365963917233,24.4166666666667,20,31,2.99873710792131,90.1008333333333,23.63,347.31,87.1274839696338,5.9975,2.25,13.5,3.19465213641912,884.855833333333,663
13,11,11,58.5,58,59,0.522232967867094,30.4666666666667,30.46,30.47,0.00492365963917233,53.3333333333333,51,57,1.9227505550564,132.094166666667,8.56,336.49,123.758868366038,6.65333333333333,3.37,13.5,2.77593009256139,891.735,674
2,10,14,56.8333333333333,55,58,1.11464085804543,30.4116666666667,30.41,30.42,0.00389249472080822,96.9166666666667,94,100,2.02072594216369,106.0175,13.77,353.13,113.891381757517,5.90333333333333,2.25,13.5,3.03859516982118,437.706666666667,716
13,12,6,40.5,40,41,0.522232967867094,30.2933333333333,30.29,30.3,0.00492365963917408,82.75,80,85,1.95982373975546,269.8725,248.87,287.75,11.2365508497937,6.93583333333333,4.5,9,1.50380401487412,2.94666666666667,657
3,12,8,45,45,45,0,30.3325,30.33,30.34,0.00452267016866716,93,93,93,0,131.604166666667,15.36,179.68,57.3562512180484,4.02833333333333,1.12,9,3.12673467006232,326.643333333333,661
16,11,7,51.25,49,54,1.42222616792382,30.4675,30.46,30.47,0.00452267016866555,18.8333333333333,18,20,0.717740562565273,153.771666666667,71.08,197.82,33.685485094631,10.4041666666667,4.5,13.5,2.58789650746187,88.3758333333333,671
19,10,9,55.9166666666667,54,58,1.50504203102489,30.4758333333333,30.47,30.48,0.00514928650544518,95.5833333333333,90,99,3.57919069911147,88.9425,14.08,139.21,40.1012244485468,5.80916666666667,2.25,9,2.02508566971794,563.265,697
4,9,8,56.9166666666667,56,57,0.288675134594813,30.4708333333333,30.46,30.48,0.0051492865054445,93,87,97,3.13339780720256,105.980833333333,31.62,358.72,116.518073858119,2.99833333333333,0,7.87,2.10794097439069,446.539166666667,747
7,9,11,58,58,58,NA,30.44,30.44,30.44,NA,82,82,82,NA,10.55,10.55,10.55,NA,7.87,7.87,7.87,NA,1075.35,745
6,11,6,47.25,47,48,0.452267016866645,30.4575,30.45,30.46,0.00452267016866716,27.25,26,28,0.965307299163423,182.2425,162.74,194.06,8.55876066325663,9.74583333333333,3.37,13.5,2.97048039681779,7.63916666666667,680
1,12,8,43.75,42,45,1.05528970602217,30.4141666666667,30.41,30.42,0.00514928650544518,98.3333333333333,96,100,1.23091490979333,158.165833333333,95.92,202.45,31.2759685434893,7.40333333333333,3.37,12.37,3.16218662359201,87.5516666666667,661
10,11,11,64,63,65,0.426401432711221,30.4725,30.47,30.48,0.00452267016866716,19.9166666666667,16,43,7.48888064622032,284.765833333333,0.11,359.91,123.189440992196,6.09,1.12,10.12,2.16967530038273,885,677
2,12,7,45,45,45,0,30.39,30.38,30.4,0.00426401432711212,93,93,93,0,148.685,91.38,181.42,32.9626009840905,5.52833333333333,1.12,10.12,2.89601868820356,5.41083333333333,660
7,11,7,48.4166666666667,46,55,2.77843426585856,30.4516666666667,30.45,30.46,0.00389249472080822,21.25,16,25,2.80016233295663,219.706666666667,201.39,275.37,25.7978985519552,7.21666666666667,4.5,10.12,2.22145870721893,119.453333333333,679
