Day,Month,Hour,Temperature_mean,Temperature_min,Temperature_max,Temperature_std,Pressure_mean,Pressure_min,Pressure_max,Pressure_std,Humidity_mean,Humidity_min,Humidity_max,Humidity_std,WindDirection_mean,WindDirection_min,WindDirection_max,WindDirection_std,Speed_mean,Speed_min,Speed_max,Speed_std,Radiation_mean,SunDurationMinutes_mean,TimeSunRise_first,Proportion_Of_Day,Hour_Sin,Hour_Cos,Temp_Ratio,Wind_Energy,WindDir_Sin,WindDir_Cos,Humidity_Ratio,Time_To_Noon,Wind_Humidity_Interaction,Temp_Time_Interaction
1,9,7,50.4,50,51,0.547722557505166,30.432,30.42,30.44,0.0083666002653412,85.2,76,96,9.57601169589929,103.052,21.02,153.19,49.42873425447995,5.398000000000001,2.25,9.0,2.6867396598851925,114.644,751.0,6.116666666666666,0.07057256990679098,0.9659258262890683,-0.25881904510252063,0.988235294117647,29.138404000000005,0.9741655044252265,-0.22583527179770654,0.8875000000000001,5.374999999999999,459.90960000000007,3.556857523302265
1,9,8,52.8,51,54,1.3038404810405304,30.45,30.45,30.45,0.0,83.4,73,99,11.844830095868833,105.652,27.41,204.79,74.95882683180146,6.748,3.37,13.5,4.134195205841156,412.658,751.0,6.116666666666666,0.15046604527296942,0.8660254037844387,-0.49999999999999983,0.9777777777777777,45.535504,0.9629181062724013,-0.26979384835976616,0.8424242424242425,4.374999999999999,562.7832000000001,7.944607190412785
1,9,9,54.875,54,57,1.125991626459603,30.46125,30.46,30.47,0.0035355339059329,75.125,69,85,5.89036743942418,112.0275,48.17,181.52,42.221196352407766,7.87125,3.37,12.37,3.5580148457893115,743.03,751.0,6.116666666666666,0.23035952063914786,0.7071067811865476,-0.7071067811865475,0.9627192982456141,61.9565765625,0.9270039495199398,-0.3750515665537645,0.8838235294117647,3.374999999999999,591.32765625,12.640978695073239
1,9,10,57.625,57,58,0.5175491695067653,30.47,30.47,30.47,0.0,74.125,70,77,2.2320714274285347,135.33375,37.85,335.52,95.1794195848031,7.17,4.5,13.5,3.121057513087511,928.14,751.0,6.116666666666666,0.3102529960053263,0.49999999999999994,-0.8660254037844387,0.9935344827586207,51.408899999999996,0.7029758853523855,-0.7112136842138442,0.9626623376623377,2.374999999999999,531.47625,17.878328894806927
1,9,11,59.333333333333336,59,60,0.516397779494321,30.46166666666667,30.46,30.47,0.0040824829046386,72.33333333333333,71,76,1.9663841605003496,59.004999999999995,31.44,110.8,32.7991431290514,9.558333333333334,3.37,16.87,4.486292084412992,1019.69,751.0,6.116666666666666,0.3901464713715047,0.258819045102521,-0.9659258262890682,0.9888888888888889,91.36173611111111,0.8572122429891056,0.5149632709908413,0.9517543859649122,1.3749999999999991,691.3861111111111,23.14869063470928
1,9,12,60.0,60,60,0.0,30.4525,30.45,30.46,0.0050000000000008,67.25,60,73,5.377421934967226,34.825,8.97,63.24,22.606386265832057,8.435,5.62,11.25,3.250482015537593,1070.9775,751.0,6.116666666666666,0.4700399467376832,1.2246467991473532e-16,-1.0,1.0,71.14922500000002,0.5710718072788973,0.8209001102029491,0.9212328767123288,0.3749999999999991,567.2537500000001,28.202396804260992
1,9,13,61.666666666666664,61,62,0.4999999999999977,30.441111111111113,30.43,30.45,0.0060092521257728,63.888888888888886,57,68,3.4075080500434787,111.50111111111111,28.19,339.64,108.72572101904456,6.747777777777777,2.25,10.12,2.8672189390495526,1025.4755555555555,751.0,6.116666666666666,0.5499334221038616,-0.2588190451025208,-0.9659258262890683,0.9946236559139785,45.5325049382716,0.9304104604147191,-0.36651926982202504,0.9395424836601307,0.6250000000000009,431.10802469135797,33.912561029738136
1,9,14,62.333333333333336,62,63,0.4999999999999979,30.423333333333332,30.42,30.43,0.0049999999999987,59.0,56,61,2.0000000000000027,119.53,3.91,357.5,136.7944326352502,6.747777777777778,3.37,9.0,2.250626455999406,902.4733333333334,751.0,6.116666666666666,0.6298268974700401,-0.4999999999999998,-0.8660254037844388,0.9894179894179894,45.532504938271614,0.8700977442720597,-0.49287920975901733,0.9672131147540983,1.6250000000000009,398.11888888888893,39.259209942299165
1,9,15,62.375,62,63,0.5175491695067652,30.415,30.41,30.42,0.0053452248382491,58.625,55,63,2.5035688811888415,94.9575,1.55,329.36,105.66032675512604,6.32625,2.25,11.25,3.120993145504442,745.13125,751.0,6.116666666666666,0.7097203728362184,-0.7071067811865471,-0.7071067811865479,0.9900793650793651,40.0214390625,0.996259073098691,-0.08641677654562797,0.9305555555555556,2.625,370.87640625,44.26880825565912
1,9,16,62.1,62,63,0.3162277660168387,30.423,30.42,30.43,0.0048304589153954,54.4,52,58,2.5473297566057074,79.262,14.04,158.17,40.81807355680678,7.084999999999999,3.37,12.37,2.906835813121278,483.16,751.0,6.116666666666666,0.7896138482023968,-0.8660254037844384,-0.5000000000000004,0.9857142857142858,50.19722499999999,0.9824894416804254,0.18631826798917506,0.9379310344827586,3.625,385.4239999999999,49.03501997336884
1,9,17,59.333333333333336,58,62,1.4142135623730956,30.43444444444445,30.43,30.44,0.005270462766948,56.333333333333336,54,60,1.8708286933869709,90.37,30.91,150.09,39.60707007593468,4.496666666666666,1.12,9.0,2.8130010664768688,118.13888888888889,751.0,6.116666666666666,0.8695073235685753,-0.9659258262890683,-0.25881904510252063,0.956989247311828,20.220011111111106,0.9999791490100767,-0.006457673349044012,0.9388888888888889,4.625,253.3122222222222,51.590767865068806
