"Day","Month","Hour","Temperature_mean","Temperature_min","Temperature_max","Temperature_std","Pressure_mean","Pressure_min","Pressure_max","Pressure_std","Humidity_mean","Humidity_min","Humidity_max","Humidity_std","WindDirection_mean","WindDirection_min","WindDirection_max","WindDirection_std","Speed_mean","Speed_min","Speed_max","Speed_std","Radiation_mean","SunDurationMinutes_mean","TimeSunRise_first","TimeSunSet_first","Proportion_Of_Day","Hour_Sin","Hour_Cos","Temp_Amplitude","Temp_Ratio","Wind_Energy","WindDir_Sin","WindDir_Cos","Humidity_Ratio","Time_To_Noon","Wind_Humidity_Interaction","Temp_Time_Interaction"
1,9,7,50.4,50,51,0.547722557505166,30.432,30.42,30.44,0.00836660026534125,85.2,76,96,9.57601169589929,103.052,21.02,153.19,49.4287342544799,5.398,2.25,9,2.68673965988519,114.644,751,6.11666666666667,18.6333333333333,0.070572569906791,0.965925826289068,-0.258819045102521,1,0.988235294117647,29.138404,0.974165504425227,-0.225835271797706,0.8875,5.375,459.9096,3.55685752330227
1,9,8,52.8,51,54,1.30384048104053,30.45,30.45,30.45,0,83.4,73,99,11.8448300958688,105.652,27.41,204.79,74.9588268318015,6.748,3.37,13.5,4.13419520584116,412.658,751,6.11666666666667,18.6333333333333,0.150466045272969,0.866025403784439,-0.5,3,0.977777777777778,45.535504,0.962918106272401,-0.269793848359766,0.842424242424243,4.375,562.7832,7.94460719041278
1,9,9,54.875,54,57,1.1259916264596,30.46125,30.46,30.47,0.00353553390593298,75.125,69,85,5.89036743942418,112.0275,48.17,181.52,42.2211963524078,7.87125,3.37,12.37,3.55801484578931,743.03,751,6.11666666666667,18.6333333333333,0.230359520639148,0.707106781186548,-0.707106781186547,3,0.962719298245614,61.9565765625,0.92700394951994,-0.375051566553764,0.883823529411765,3.375,591.32765625,12.6409786950732
1,9,10,57.625,57,58,0.517549169506765,30.47,30.47,30.47,0,74.125,70,77,2.23207142742853,135.33375,37.85,335.52,95.1794195848031,7.17,4.5,13.5,3.12105751308751,928.14,751,6.11666666666667,18.6333333333333,0.310252996005326,0.5,-0.866025403784439,1,0.993534482758621,51.4089,0.702975885352385,-0.711213684213844,0.962662337662338,2.375,531.47625,17.8783288948069
1,9,11,59.3333333333333,59,60,0.516397779494321,30.4616666666667,30.46,30.47,0.00408248290463867,72.3333333333333,71,76,1.96638416050035,59.005,31.44,110.8,32.7991431290514,9.55833333333333,3.37,16.87,4.48629208441299,1019.69,751,6.11666666666667,18.6333333333333,0.390146471371505,0.258819045102521,-0.965925826289068,1,0.988888888888889,91.3617361111111,0.857212242989106,0.514963270990841,0.951754385964912,1.375,691.386111111111,23.1486906347093
1,9,12,60,60,60,0,30.4525,30.45,30.46,0.00500000000000088,67.25,60,73,5.37742193496723,34.825,8.97,63.24,22.6063862658321,8.435,5.62,11.25,3.25048201553759,1070.9775,751,6.11666666666667,18.6333333333333,0.470039946737683,1.22460635382238e-16,-1,0,1,71.149225,0.571071807278897,0.820900110202949,0.921232876712329,0.374999999999999,567.25375,28.202396804261
1,9,13,61.6666666666667,61,62,0.499999999999998,30.4411111111111,30.43,30.45,0.00600925212577287,63.8888888888889,57,68,3.40750805004348,111.501111111111,28.19,339.64,108.725721019045,6.74777777777778,2.25,10.12,2.86721893904955,1025.47555555556,751,6.11666666666667,18.6333333333333,0.549933422103862,-0.258819045102521,-0.965925826289068,1,0.994623655913978,45.5325049382716,0.930410460414719,-0.366519269822025,0.939542483660131,0.625000000000001,431.108024691358,33.9125610297381
1,9,14,62.3333333333333,62,63,0.499999999999998,30.4233333333333,30.42,30.43,0.0049999999999987,59,56,61,2,119.53,3.91,357.5,136.79443263525,6.74777777777778,3.37,9,2.25062645599941,902.473333333333,751,6.11666666666667,18.6333333333333,0.62982689747004,-0.5,-0.866025403784439,1,0.989417989417989,45.5325049382716,0.87009774427206,-0.492879209759017,0.967213114754098,1.625,398.118888888889,39.2592099422992
1,9,15,62.375,62,63,0.517549169506765,30.415,30.41,30.42,0.00534522483824915,58.625,55,63,2.50356888118884,94.9575,1.55,329.36,105.660326755126,6.32625,2.25,11.25,3.12099314550444,745.13125,751,6.11666666666667,18.6333333333333,0.709720372836218,-0.707106781186547,-0.707106781186548,1,0.990079365079365,40.0214390625,0.996259073098691,-0.086416776545628,0.930555555555556,2.625,370.87640625,44.2688082556591
1,9,16,62.1,62,63,0.316227766016839,30.423,30.42,30.43,0.00483045891539541,54.4,52,58,2.54732975660571,79.262,14.04,158.17,40.8180735568068,7.085,3.37,12.37,2.90683581312128,483.16,751,6.11666666666667,18.6333333333333,0.789613848202397,-0.866025403784438,-0.5,1,0.985714285714286,50.197225,0.982489441680425,0.186318267989175,0.937931034482759,3.625,385.424,49.0350199733688
